TAX CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,10466,2.0,2.0,5000.0,2926.0,1925.0,1,690000,2020-09-17
1,10466,2.0,2.0,3000.0,1181.0,1925.0,1,0,2021-02-03
1,10466,2.0,2.0,3000.0,1181.0,1925.0,1,0,2020-11-03
1,10466,2.0,2.0,3375.0,2050.0,1959.0,1,0,2020-09-30
1,10466,2.0,2.0,2500.0,2512.0,1910.0,1,932000,2021-03-22
1,10466,2.0,2.0,3750.0,2766.0,1920.0,1,740000,2020-10-22
1,10466,2.0,2.0,2500.0,2273.0,2008.0,1,690000,2020-12-29
1,10466,2.0,2.0,3587.0,2002.0,1956.0,1,636000,2020-05-28
1,10466,2.0,2.0,2480.0,1409.0,1930.0,1,470000,2021-02-22
1,10466,2.0,2.0,2846.0,1870.0,2003.0,1,0,2020-06-20
1,10466,2.0,2.0,4500.0,2090.0,1938.0,1,425000,2020-04-24
1,10466,2.0,2.0,4500.0,2090.0,1938.0,1,695000,2020-12-07
1,10466,2.0,2.0,2500.0,1872.0,1930.0,1,0,2020-06-27
1,10466,2.0,2.0,1810.0,2636.0,1950.0,1,719000,2021-01-29
1,10466,2.0,2.0,2215.0,1386.0,1950.0,1,495000,2020-10-05
1,10466,2.0,2.0,4750.0,2268.0,1950.0,1,800000,2021-01-14
1,10466,2.0,2.0,2420.0,2000.0,2007.0,1,750000,2020-11-24
